Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/23/2022,02/24/2022,FH* TAHOE SNOWMOBILE,Entertainment,Sale,-249.52,
02/22/2022,02/23/2022,COSTCO WHSE #0482,Shopping,Sale,-5.47,
02/22/2022,02/23/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
02/22/2022,02/23/2022,AMZN Mktp US*1I0MA3FS0,Shopping,Sale,-10.77,
02/22/2022,02/23/2022,COSTCO GAS #0482,Gas,Sale,-38.62,
02/21/2022,02/22/2022,TST* Lama Beans Cafe,Food & Drink,Sale,-30.32,
02/18/2022,02/20/2022,TACO BELL #031449,Food & Drink,Sale,-4.18,
02/19/2022,02/20/2022,Payment Thank You-Mobile,,Payment,650.00,
02/19/2022,02/20/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-10.29,
02/17/2022,02/18/2022,KING PIN DONUT,Food & Drink,Sale,-6.25,
02/15/2022,02/17/2022,GYPSY'S TRATTORIA ITAL,Food & Drink,Sale,-15.15,
02/17/2022,02/17/2022,LYFT   *1 RIDE 02-15,Travel,Sale,-12.90,
02/16/2022,02/17/2022,SQ *CHASE CENTER,Food & Drink,Sale,-41.00,
02/15/2022,02/15/2022,Payment Thank You-Mobile,,Payment,500.00,
02/14/2022,02/15/2022,CITY OF BERKELEY- IPS,Travel,Sale,-0.75,
02/14/2022,02/15/2022,AMZN Mktp US*XF2R39W73,Shopping,Sale,-18.15,
02/14/2022,02/15/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
02/14/2022,02/14/2022,RESTAURANT SP,Food & Drink,Sale,-15.09,
02/14/2022,02/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
02/12/2022,02/13/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-4.89,
02/12/2022,02/13/2022,SQ *KO STOP,Food & Drink,Sale,-49.24,
02/09/2022,02/10/2022,RALEIGHS PUB,Food & Drink,Sale,-74.97,
02/08/2022,02/09/2022,SQ *KO STOP,Food & Drink,Sale,-35.06,
02/07/2022,02/08/2022,CREAM,Food & Drink,Sale,-5.48,
02/07/2022,02/08/2022,UCB PARKING &amp; TRANSP,Travel,Sale,-78.00,
02/07/2022,02/08/2022,STUDENT FOOD CO,Groceries,Sale,-6.50,
02/06/2022,02/06/2022,LYFT   *1 RIDE 02-04,Travel,Sale,-11.66,
02/04/2022,02/06/2022,TACO BELL 032759,Food & Drink,Sale,-5.50,
02/04/2022,02/06/2022,Amazon.com*FJ6B36CE3,Shopping,Sale,-20.94,
02/04/2022,02/06/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
02/05/2022,02/06/2022,SONIC.NET,Bills & Utilities,Sale,-52.49,
02/02/2022,02/04/2022,PARKING FINES - PSPT,Travel,Sale,-89.00,
02/03/2022,02/04/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-3.36,
02/01/2022,02/03/2022,CREAM,Food & Drink,Sale,-6.49,
02/02/2022,02/03/2022,RALEIGHS PUB,Food & Drink,Sale,-76.08,
02/01/2022,02/01/2022,SQ *ARTICHOKE BASILLE'S P,Food & Drink,Sale,-6.55,
01/30/2022,02/01/2022,RALEIGHS PUB,Food & Drink,Sale,-33.63,
01/31/2022,02/01/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
01/31/2022,01/31/2022,Amazon.com*ZI5F096I3,Shopping,Sale,-71.33,
01/29/2022,01/30/2022,Payment Thank You-Mobile,,Payment,614.33,
01/29/2022,01/30/2022,RESTAURANT SP,Food & Drink,Sale,-9.99,
01/27/2022,01/30/2022,SUSHI GO GO LLC,Food & Drink,Sale,-30.81,
01/28/2022,01/28/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-3.85,
01/26/2022,01/27/2022,CITY OF BERKELEY- IPS,Travel,Sale,-0.50,
01/26/2022,01/27/2022,RALEIGHS PUB,Food & Drink,Sale,-160.00,
01/26/2022,01/27/2022,KING PIN DONUT,Food & Drink,Sale,-5.00,
01/27/2022,01/27/2022,RESTAURANT SP,Food & Drink,Sale,-12.36,
01/24/2022,01/25/2022,PANDA EXPRESS #1022,Food & Drink,Sale,-11.80,
01/24/2022,01/25/2022,RALEIGHS PUB,Food & Drink,Sale,-73.00,
01/23/2022,01/24/2022,RALEIGHS PUB,Food & Drink,Sale,-50.00,
01/21/2022,01/23/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
01/22/2022,01/23/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.00,
01/21/2022,01/23/2022,BOICHIK BAGELS,Food & Drink,Sale,-17.01,
01/20/2022,01/21/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
01/20/2022,01/20/2022,Payment Thank You-Mobile,,Payment,1026.58,
01/20/2022,01/20/2022,RESTAURANT SP,Food & Drink,Sale,-13.00,
01/19/2022,01/20/2022,RALEIGHS PUB,Food & Drink,Sale,-33.08,
01/16/2022,01/18/2022,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-11.63,
01/17/2022,01/17/2022,Amazon.com,Shopping,Return,35.08,
01/16/2022,01/16/2022,ARC'TERYX EQUIPMENT,Shopping,Sale,-285.55,
01/16/2022,01/16/2022,AMZN Mktp US*Y53FN1Y63,Shopping,Sale,-71.66,
01/16/2022,01/16/2022,AMZN Mktp US*1Q6BC3C53,Shopping,Sale,-62.82,
01/13/2022,01/14/2022,SNACK* LA BURRITA,Food & Drink,Sale,-12.05,
01/14/2022,01/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
01/11/2022,01/12/2022,TM TICKETMASTER,Entertainment,Sale,-194.13,
01/11/2022,01/12/2022,TM TICKETMASTER,Entertainment,Sale,-187.81,
01/10/2022,01/12/2022,GANGNAM TOFU,Food & Drink,Sale,-277.00,
01/10/2022,01/11/2022,Amazon.com*DH0CV1ZH3,Shopping,Sale,-68.04,
